,european_identity,eu_migrants,noneu_migrants,socialclass,life_satisfaction,national_econ,job_situation,attachment_country,rightwing,age,gender
265,3.0,1.0,1.0,3,3,2.0,2.0,3.0,3.0,19,0
266,3.0,1.0,1.0,3,3,2.0,2.0,3.0,3.0,23,1
267,2.0,1.0,1.0,3,3,2.0,3.0,4.0,4.0,61,0
268,3.0,1.0,1.0,3,3,3.0,3.0,2.0,4.0,54,1
269,3.0,1.0,1.0,3,4,4.0,3.0,3.0,4.0,31,1
270,2.0,1.0,0.0,3,3,4.0,3.0,3.0,4.0,67,1
271,3.0,1.0,1.0,3,3,4.0,3.0,3.0,4.0,53,0
272,2.0,1.0,1.0,3,3,4.0,3.0,4.0,4.0,39,0
273,3.0,1.0,1.0,3,3,1.0,2.0,3.0,4.0,22,0
274,2.0,1.0,0.0,3,3,4.0,2.0,3.0,2.0,48,1
277,2.0,0.0,0.0,4,3,3.0,2.0,4.0,3.0,54,1
278,2.0,0.0,0.0,2,3,2.0,3.0,3.0,2.0,57,0
279,2.0,0.0,0.0,3,3,3.0,3.0,4.0,3.0,67,1
285,2.0,1.0,1.0,4,4,3.0,3.0,3.0,3.0,59,0
286,2.0,1.0,1.0,3,3,3.0,4.0,4.0,3.0,68,0
287,1.0,0.0,0.0,3,3,2.0,4.0,3.0,4.0,81,1
289,2.0,0.0,1.0,3,4,3.0,4.0,3.0,2.0,63,0
290,2.0,1.0,0.0,3,3,2.0,4.0,3.0,3.0,77,1
291,2.0,1.0,1.0,2,3,3.0,3.0,3.0,3.0,73,1
293,1.0,1.0,1.0,3,3,3.0,4.0,4.0,2.0,71,0
296,4.0,1.0,1.0,3,3,3.0,3.0,1.0,2.0,36,0
297,1.0,1.0,0.0,2,2,2.0,3.0,3.0,4.0,37,0
298,1.0,0.0,0.0,1,2,3.0,2.0,3.0,4.0,54,1
299,2.0,0.0,0.0,3,3,3.0,3.0,2.0,5.0,22,0
300,3.0,1.0,0.0,3,3,3.0,4.0,2.0,3.0,63,1
301,2.0,0.0,0.0,3,4,3.0,3.0,4.0,4.0,47,1
302,1.0,0.0,0.0,1,2,3.0,2.0,3.0,5.0,57,1
303,3.0,0.0,0.0,3,3,4.0,4.0,1.0,4.0,70,1
304,1.0,0.0,0.0,1,3,2.0,2.0,2.0,5.0,54,0
305,1.0,1.0,0.0,4,4,3.0,4.0,3.0,3.0,40,0
306,2.0,0.0,0.0,3,3,3.0,3.0,3.0,4.0,52,1
311,2.0,0.0,0.0,4,3,3.0,3.0,4.0,3.0,36,1
312,1.0,0.0,0.0,4,3,3.0,3.0,4.0,4.0,43,0
313,3.0,1.0,0.0,3,3,2.0,3.0,2.0,3.0,45,1
314,3.0,1.0,1.0,3,3,2.0,3.0,4.0,3.0,37,0
315,3.0,1.0,1.0,3,3,4.0,3.0,4.0,2.0,28,0
316,3.0,1.0,1.0,3,3,4.0,2.0,3.0,4.0,31,1
317,2.0,1.0,1.0,2,3,2.0,4.0,3.0,4.0,62,0
318,1.0,1.0,1.0,3,3,3.0,3.0,4.0,3.0,19,1
319,2.0,0.0,0.0,3,4,2.0,3.0,3.0,3.0,58,1
320,3.0,1.0,1.0,3,3,2.0,2.0,3.0,2.0,38,1
321,2.0,1.0,0.0,3,3,3.0,3.0,3.0,4.0,26,0
323,3.0,1.0,1.0,3,3,3.0,3.0,3.0,4.0,42,0
324,2.0,1.0,1.0,3,3,4.0,3.0,4.0,4.0,65,1
325,2.0,1.0,1.0,3,3,4.0,2.0,4.0,3.0,63,1
326,2.0,1.0,1.0,4,3,3.0,3.0,4.0,4.0,36,0
327,3.0,1.0,1.0,2,3,4.0,2.0,2.0,4.0,58,0
328,3.0,1.0,0.0,3,3,3.0,3.0,3.0,2.0,17,1
329,3.0,1.0,1.0,3,3,2.0,3.0,4.0,4.0,43,0
330,2.0,1.0,0.0,3,3,3.0,3.0,3.0,4.0,25,0
331,3.0,1.0,1.0,3,3,2.0,3.0,3.0,4.0,23,0
332,2.0,1.0,0.0,3,3,4.0,3.0,4.0,3.0,58,0
333,3.0,1.0,1.0,3,3,4.0,2.0,2.0,3.0,65,1
334,2.0,1.0,1.0,3,3,3.0,3.0,3.0,2.0,18,0
335,2.0,1.0,1.0,3,3,4.0,3.0,4.0,4.0,42,1
336,3.0,1.0,1.0,2,3,3.0,3.0,2.0,4.0,32,0
337,3.0,1.0,1.0,3,3,3.0,3.0,4.0,3.0,23,1
338,3.0,1.0,1.0,3,4,2.0,1.0,3.0,4.0,69,0
339,2.0,1.0,1.0,3,3,2.0,2.0,4.0,4.0,47,1
340,2.0,1.0,1.0,3,3,3.0,2.0,3.0,4.0,19,0
341,3.0,1.0,1.0,3,3,4.0,3.0,4.0,4.0,32,0
342,3.0,1.0,1.0,2,3,2.0,3.0,4.0,4.0,55,0
343,2.0,1.0,1.0,3,3,4.0,3.0,2.0,4.0,16,0
344,3.0,1.0,0.0,3,4,2.0,3.0,2.0,3.0,35,1
345,3.0,1.0,1.0,3,3,3.0,2.0,2.0,2.0,59,0
346,2.0,1.0,1.0,3,3,2.0,1.0,2.0,4.0,46,1
348,3.0,1.0,1.0,3,3,3.0,2.0,4.0,3.0,62,1
349,3.0,0.0,1.0,3,3,3.0,3.0,4.0,2.0,21,0
350,3.0,1.0,0.0,3,3,3.0,4.0,4.0,4.0,30,1
351,3.0,1.0,1.0,3,3,2.0,2.0,2.0,4.0,49,1
354,3.0,1.0,1.0,3,3,3.0,4.0,4.0,4.0,56,1
355,3.0,1.0,1.0,3,3,2.0,3.0,4.0,2.0,61,1
356,3.0,1.0,1.0,3,3,4.0,2.0,3.0,4.0,37,1
357,3.0,1.0,1.0,3,3,3.0,2.0,4.0,4.0,53,0
358,2.0,0.0,0.0,3,3,3.0,3.0,3.0,4.0,23,0
359,3.0,1.0,1.0,3,3,4.0,2.0,2.0,2.0,42,1
360,3.0,1.0,1.0,3,3,4.0,2.0,4.0,4.0,20,1
361,3.0,1.0,0.0,3,3,3.0,3.0,4.0,3.0,45,1
362,2.0,0.0,0.0,3,3,3.0,3.0,3.0,2.0,32,0
363,2.0,1.0,1.0,3,4,2.0,3.0,4.0,2.0,43,1
364,1.0,1.0,0.0,3,4,3.0,3.0,2.0,3.0,58,1
365,3.0,1.0,1.0,3,3,3.0,4.0,4.0,3.0,46,1
367,2.0,0.0,0.0,3,4,3.0,3.0,2.0,5.0,48,1
368,2.0,1.0,0.0,3,3,3.0,3.0,3.0,4.0,35,1
369,3.0,0.0,0.0,4,3,3.0,4.0,3.0,4.0,58,1
371,2.0,1.0,1.0,3,3,3.0,2.0,2.0,3.0,54,0
373,2.0,1.0,0.0,2,3,3.0,3.0,4.0,3.0,73,0
374,1.0,0.0,0.0,2,3,3.0,3.0,4.0,4.0,67,0
375,2.0,0.0,1.0,3,3,3.0,3.0,4.0,4.0,63,1
376,2.0,1.0,0.0,3,4,3.0,3.0,4.0,3.0,35,1
377,2.0,1.0,0.0,3,4,3.0,3.0,4.0,3.0,68,1
378,1.0,1.0,0.0,3,3,3.0,3.0,4.0,4.0,74,1
379,2.0,0.0,0.0,3,4,3.0,3.0,4.0,3.0,76,0
380,1.0,0.0,0.0,2,3,3.0,3.0,4.0,3.0,72,1
381,1.0,0.0,0.0,2,4,3.0,2.0,4.0,2.0,72,1
382,2.0,0.0,0.0,3,4,3.0,3.0,4.0,3.0,67,1
383,2.0,1.0,0.0,3,3,3.0,3.0,2.0,5.0,43,0
384,2.0,1.0,1.0,2,4,4.0,4.0,2.0,1.0,28,1
385,1.0,1.0,1.0,2,2,3.0,2.0,2.0,1.0,49,1
387,2.0,0.0,0.0,3,3,3.0,2.0,4.0,4.0,28,0
390,2.0,1.0,0.0,1,3,2.0,3.0,3.0,1.0,57,0
394,2.0,0.0,0.0,3,3,3.0,3.0,4.0,3.0,29,0
395,1.0,1.0,0.0,4,4,3.0,4.0,3.0,5.0,65,1
396,2.0,0.0,0.0,3,4,3.0,3.0,4.0,4.0,59,1
397,1.0,1.0,1.0,3,4,3.0,3.0,4.0,4.0,66,0
398,2.0,0.0,0.0,3,4,3.0,3.0,4.0,3.0,72,0
399,2.0,0.0,0.0,3,4,3.0,3.0,4.0,4.0,76,1
400,2.0,0.0,0.0,4,3,3.0,3.0,3.0,2.0,79,1
401,1.0,1.0,0.0,4,4,3.0,3.0,4.0,3.0,68,0
402,2.0,1.0,0.0,3,3,3.0,3.0,4.0,4.0,64,1
403,2.0,1.0,0.0,3,4,3.0,3.0,4.0,3.0,64,1
404,1.0,1.0,0.0,3,3,3.0,4.0,4.0,3.0,66,0
405,4.0,0.0,0.0,1,3,3.0,3.0,2.0,5.0,63,0
406,1.0,0.0,0.0,1,2,2.0,2.0,3.0,2.0,53,1
407,2.0,1.0,0.0,3,4,3.0,3.0,2.0,2.0,75,0
408,2.0,1.0,0.0,3,4,3.0,3.0,4.0,3.0,72,1
409,2.0,1.0,1.0,3,4,3.0,3.0,3.0,3.0,19,1
410,2.0,0.0,0.0,3,3,3.0,4.0,1.0,4.0,56,1
412,1.0,1.0,0.0,3,3,2.0,3.0,4.0,3.0,49,0
414,2.0,0.0,0.0,2,2,2.0,2.0,3.0,1.0,54,1
415,1.0,1.0,0.0,2,3,3.0,3.0,3.0,4.0,66,0
416,3.0,0.0,0.0,3,3,3.0,3.0,2.0,3.0,64,1
417,2.0,0.0,0.0,2,3,2.0,3.0,4.0,4.0,22,1
419,1.0,1.0,0.0,3,3,2.0,2.0,4.0,3.0,59,1
420,3.0,1.0,1.0,3,3,3.0,3.0,3.0,1.0,31,0
421,1.0,1.0,1.0,3,2,2.0,3.0,3.0,2.0,19,0
422,2.0,0.0,0.0,2,3,2.0,3.0,3.0,3.0,64,0
423,3.0,1.0,0.0,3,4,3.0,4.0,1.0,4.0,28,1
